amfi_code,alpha,beta,scheme_name
100016,0.03622082583927389,-0.02590940576586108,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.043189313078713834,-0.016175640851260296,HDFC Short Term Debt Fund - Regular - Growth
100033,0.2723430403957973,-0.011199710059456112,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.21394474850613565,0.03381398454659159,ABSL Frontline Equity Fund - Regular - Growth
101207,0.108204548121523,-0.05985584586460058,ABSL Small Cap Fund - Regular - Growth
101208,0.060842112922266274,0.0013273169546884301,ABSL Liquid Fund - Regular - Growth
102885,0.16992711557794757,-0.0018841874054637254,UTI Nifty 50 Index Fund - Regular - Growth
102886,0.028949366251249303,-0.06147606747188306,UTI Mid Cap Fund - Regular - Growth
102887,0.16179316452470288,0.04011620562000177,UTI Flexi Cap Fund - Regular - Growth
118632,0.21728068775563275,0.03643421773147288,Nippon India Large Cap Fund - Regular - Growth
118633,0.15503795076034144,0.013157652619096476,Nippon India Large Cap Fund - Direct - Growth
118634,0.1780020912356628,0.009128170084160595,Nippon India Small Cap Fund - Regular - Growth
118635,0.1516060236354567,-0.013806609371555936,Nippon India ETF Nifty 50 BeES
118636,0.050962671064803525,-0.008492388448091663,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.06970170811357129,-0.019608739866468192,Axis Bluechip Fund - Regular - Growth
119093,0.08329931222337685,-0.008427720099019322,Axis Bluechip Fund - Direct - Growth
119094,0.25997054053321045,-0.05986815058386658,Axis Midcap Fund - Regular - Growth
119095,0.045680128064692245,0.013291723470735473,Axis Small Cap Fund - Regular - Growth
119120,0.055762723198290544,0.011990672594122516,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,0.23219648016717317,-0.05604508562674626,SBI Bluechip Fund - Regular Plan - Growth
119552,0.1982932218749147,-0.019853025049675736,SBI Bluechip Fund - Direct Plan - Growth
119598,0.3011144193310002,0.07426648483802883,SBI Small Cap Fund - Regular Plan - Growth
119599,0.050572431452751,0.00768098295965286,SBI Small Cap Fund - Direct Plan - Growth
120503,0.1758793778524273,-0.0041111478360456545,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.21209430099400567,0.01702536176694925,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.29301371282563315,-0.017391171743071702,ICICI Pru Midcap Fund - Regular - Growth
120506,0.1628373148675318,0.04770801520256502,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.06747180157927475,-0.0011254611770458512,ICICI Pru Liquid Fund - Regular - Growth
120841,0.13068278268538389,0.04167578236653608,Kotak Bluechip Fund - Regular - Growth
120842,0.07858651492916938,0.0006475555544426304,Kotak Emerging Equity Fund - Regular - Growth
120843,0.2727835993505962,-0.008737359353900952,Kotak Flexicap Fund - Regular - Growth
120844,0.06454601487990584,-7.563158272733902e-05,Kotak Liquid Fund - Regular - Growth
125497,0.17891295683520844,-0.0054593165590488555,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.12055386350487396,-0.018512868789591526,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,0.27115016368211037,-0.028133312231657454,Mirae Asset Large Cap Fund - Regular - Growth
148568,0.20791715096672478,5.11619674095867e-05,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,0.2834733647072867,-0.010201365088271757,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.13129906992674878,0.014848756863667937,DSP Top 100 Equity Fund - Regular - Growth
149323,0.2658359448078775,0.0034785300797906815,DSP Midcap Fund - Regular - Growth
149324,0.2981786893056835,0.1326080882405414,DSP Small Cap Fund - Regular - Growth
